id,level,jobs
"396",3,47206
"397",1,41362
"397",2,42459
"397",3,44480
"398",1,44577
"398",2,47077
"398",3,47098
"399",1,46969
"401",3,52719
"402",1,46946
"402",2,49058
"402",3,57733
"403",1,47077
"403",2,47185
"403",3,48185
"404",1,47079
"404",2,47052
"404",3,54592
"405",1,47132
"405",2,49318
"405",3,58129
"406",1,46014
"406",2,48058
"406",3,57128
"407",1,44480
"407",2,47077
"407",3,47118
"413",1,36979
"413",2,41764
"413",3,41917
